"No.","Time","Source","Destination","Protocol","Length","Info"
"112","5.672854400","192.168.1.1","239.255.255.250","SSDP","432","NOTIFY * HTTP/1.1 "
"113","5.780338400","192.168.1.1","239.255.255.250","SSDP","432","NOTIFY * HTTP/1.1 "
"114","5.890775900","192.168.1.1","239.255.255.250","SSDP","442","NOTIFY * HTTP/1.1 "
"115","6.000477800","192.168.1.1","239.255.255.250","SSDP","442","NOTIFY * HTTP/1.1 "
"116","6.401770600","ZyxelCommuni_83:31:00","Broadcast","ARP","60","Who has 192.168.1.147? Tell 192.168.1.1"
"117","7.282864800","192.168.1.100","192.168.1.223","TCP","55","22000  >  22000 [ACK] Seq=1 Ack=1 Win=254 Len=1"
"118","7.336473700","TPLink_01:f0:9a","Broadcast","ARP","60","Who has 192.168.1.228? Tell 192.168.1.21"
"119","7.343009300","ZyxelCommuni_83:31:00","Broadcast","ARP","60","Who has 192.168.1.147? Tell 192.168.1.1"
"120","7.406204100","192.168.1.223","192.168.1.100","TCP","66","22000  >  22000 [ACK] Seq=1 Ack=2 Win=141 Len=0 SLE=1 SRE=2"
"121","7.495705300","192.168.1.100","128.116.5.3","TLSv1.2","178","Application Data"
"122","7.497617900","192.168.1.100","1.1.1.1","DNS","76","Standard query 0x4310 A users.roblox.com"
"123","7.528431500","1.1.1.1","192.168.1.100","DNS","170","Standard query response 0x4310 A users.roblox.com CNAME titanium.roblox.com CNAME edge-term4.roblox.com CNAME edge-term4-cdg2.roblox.com A 128.116.13.3"
"124","7.528943600","192.168.1.100","1.1.1.1","DNS","86","Standard query 0x2715 A edge-term4-cdg2.roblox.com"
"125","7.558841300","1.1.1.1","192.168.1.100","DNS","102","Standard query response 0x2715 A edge-term4-cdg2.roblox.com A 128.116.13.3"
"126","7.559088400","192.168.1.100","1.1.1.1","DNS","86","Standard query 0x2a0d AAAA edge-term4-cdg2.roblox.com"
"127","7.586559300","128.116.5.3","192.168.1.100","TCP","60","443  >  62122 [ACK] Seq=40 Ack=164 Win=4 Len=0"
"128","7.593371100","1.1.1.1","192.168.1.100","DNS","151","Standard query response 0x2a0d AAAA edge-term4-cdg2.roblox.com SOA dns1.p06.nsone.net"
"129","7.659315400","128.116.5.3","192.168.1.100","TLSv1.2","893","Application Data"
"130","7.664191200","192.168.1.100","1.1.1.1","DNS","78","Standard query 0xbc1f A friends.roblox.com"
"131","7.664733000","192.168.1.100","128.116.21.3","TLSv1.2","176","Application Data"
"132","7.704795300","192.168.1.100","128.116.5.3","TCP","54","62122  >  443 [ACK] Seq=164 Ack=879 Win=255 Len=0"
"133","7.704980300","192.168.1.100","1.0.0.1","DNS","78","Standard query 0xbc1f A friends.roblox.com"
"134","7.733172500","1.1.1.1","192.168.1.100","DNS","172","Standard query response 0xbc1f A friends.roblox.com CNAME titanium.roblox.com CNAME edge-term4.roblox.com CNAME edge-term4-fra4.roblox.com A 128.116.44.3"
"135","7.733640600","192.168.1.100","1.1.1.1","DNS","86","Standard query 0xca70 A edge-term4-fra4.roblox.com"
"136","7.747191400","1.0.0.1","192.168.1.100","DNS","172","Standard query response 0xbc1f A friends.roblox.com CNAME titanium.roblox.com CNAME edge-term4.roblox.com CNAME edge-term4-cdg2.roblox.com A 128.116.13.3"
"137","7.765076300","1.1.1.1","192.168.1.100","DNS","102","Standard query response 0xca70 A edge-term4-fra4.roblox.com A 128.116.44.3"
"138","7.765318700","192.168.1.100","1.1.1.1","DNS","86","Standard query 0xb646 AAAA edge-term4-fra4.roblox.com"
"139","7.798252800","192.168.1.100","1.0.0.1","DNS","86","Standard query 0xb646 AAAA edge-term4-fra4.roblox.com"
"140","7.799152800","128.116.21.3","192.168.1.100","TCP","60","443  >  62123 [ACK] Seq=40 Ack=162 Win=4 Len=0"
"141","7.807216400","1.1.1.1","192.168.1.100","DNS","151","Standard query response 0xb646 AAAA edge-term4-fra4.roblox.com SOA dns1.p06.nsone.net"
"142","7.827928000","1.0.0.1","192.168.1.100","DNS","151","Standard query response 0xb646 AAAA edge-term4-fra4.roblox.com SOA dns1.p06.nsone.net"
"143","7.869491700","128.116.21.3","192.168.1.100","TCP","1514","443  >  62123 [ACK] Seq=40 Ack=162 Win=4 Len=1460 [TCP PDU reassembled in 144]"
"144","7.869491700","128.116.21.3","192.168.1.100","TLSv1.2","732","Application Data"
"145","7.869560500","192.168.1.100","128.116.21.3","TCP","54","62123  >  443 [ACK] Seq=162 Ack=2178 Win=255 Len=0"
"146","8.245290000","ZyxelCommuni_83:31:00","IEEE-1905.1-Control","ieee1905","657","Vendor specific"
"147","8.347527100","ZyxelCommuni_83:31:00","Broadcast","ARP","60","Who has 192.168.1.147? Tell 192.168.1.1"
"148","8.359532900","192.168.1.100","192.168.1.147","TLSv1.2","164","Application Data"
"149","8.359586500","192.168.1.100","192.168.1.147","TLSv1.2","164","Application Data"
"150","8.384356000","192.168.1.147","192.168.1.100","TLSv1.2","164","Application Data"
"151","8.384620900","192.168.1.147","192.168.1.100","TLSv1.2","164","Application Data"
"152","8.438304300","192.168.1.100","192.168.1.147","TCP","54","64334  >  8009 [ACK] Seq=221 Ack=221 Win=254 Len=0"
"153","8.438312500","192.168.1.100","192.168.1.147","TCP","54","53672  >  8009 [ACK] Seq=221 Ack=221 Win=252 Len=0"
"154","8.578791700","192.168.1.100","192.168.1.1","TCP","55","[TCP Keep-Alive] 61680  >  38400 [ACK] Seq=0 Ack=2 Win=64704 Len=1"
"155","8.579913100","192.168.1.1","192.168.1.100","TCP","60","[TCP Previous segment not captured] 38400  >  61680 [ACK] Seq=2 Ack=1 Win=29200 Len=0"
"156","9.371430800","ZyxelCommuni_83:31:00","Broadcast","ARP","60","Who has 192.168.1.147? Tell 192.168.1.1"
"157","10.336481000","TPLink_01:f0:9a","Broadcast","ARP","60","Who has 192.168.1.100? Tell 192.168.1.21"
"158","10.336498800","ASUSTekCOMPU_3c:21:b4","TPLink_01:f0:9a","ARP","42","192.168.1.100 is at 08:bf:b8:3c:21:b4"
"159","10.601187300","ZyxelCommuni_83:31:00","Broadcast","ARP","60","Who has 192.168.1.15? Tell 192.168.1.1"
"160","10.805076500","ZyxelCommuni_83:31:00","Broadcast","ARP","60","Who has 192.168.1.223? Tell 192.168.1.1"
"161","10.906791000","0.0.0.0","224.0.0.1","IGMPv3","60","Membership Query, general"
"162","10.906881400","fe80::6e4f:89ff:fe83:3101","ff02::1","ICMPv6","90","Multicast Listener Query"
"163","10.932926500","192.168.1.100","224.0.0.22","IGMPv3","70","Membership Report / Join group 224.0.0.251 for any sources / Join group 224.0.0.252 for any sources / Join group 239.255.255.250 for any sources"
